Timestamp, Device ID, Start Time, Received Time, Delay (ms)
2022-01-13 18:03:05,NF1,1642071785.2906415,1642071785.290699,0.06
2022-01-13 18:03:07,NF1,1642071787.5859938,1642071787.586042,0.05
2022-01-13 18:03:10,NF1,1642071790.119328,1642071790.1193516,0.02
2022-01-13 18:03:12,NF1,1642071792.5052419,1642071792.505319,0.08
2022-01-13 18:03:14,NF1,1642071794.7075593,1642071794.7076278,0.07
2022-01-13 18:03:16,NF1,1642071796.6361618,1642071796.636398,0.24
2022-01-13 18:03:18,NF1,1642071798.7572598,1642071798.7573159,0.06
2022-01-13 18:03:21,NF1,1642071801.5852642,1642071801.5852885,0.02
2022-01-13 18:03:24,NF1,1642071804.266949,1642071804.2671375,0.19
2022-01-13 18:03:26,NF1,1642071806.0358825,1642071806.0359771,0.09
2022-01-13 18:03:28,NF1,1642071808.2267587,1642071808.2267962,0.04
2022-01-13 18:03:30,NF1,1642071810.2388856,1642071810.2389133,0.03
2022-01-13 18:03:32,NF1,1642071812.5146248,1642071812.5146494,0.02
2022-01-13 18:03:34,NF1,1642071814.6024253,1642071814.6028633,0.44
2022-01-13 18:03:36,NF1,1642071816.7389915,1642071816.739056,0.06
2022-01-13 18:03:39,NF1,1642071819.0736172,1642071819.073642,0.02
2022-01-13 18:03:41,NF1,1642071821.241044,1642071821.2411036,0.06
2022-01-13 18:03:43,NF1,1642071823.5161717,1642071823.5162103,0.04
2022-01-13 18:03:46,NF1,1642071826.0462332,1642071826.0462573,0.02
2022-01-13 18:03:48,NF1,1642071828.3363023,1642071828.3364217,0.12
2022-01-13 18:03:50,NF1,1642071830.4776077,1642071830.4776676,0.06
2022-01-13 18:03:52,NF1,1642071832.567155,1642071832.5672247,0.07
2022-01-13 18:03:54,NF1,1642071834.705059,1642071834.7051282,0.07
2022-01-13 18:03:57,NF1,1642071837.107437,1642071837.107461,0.02
2022-01-13 18:03:59,NF1,1642071839.243584,1642071839.2436423,0.06
2022-01-13 18:04:02,NF1,1642071842.7568214,1642071842.756889,0.07
2022-01-13 18:04:04,NF1,1642071844.0191562,1642071844.019184,0.03
2022-01-13 18:04:06,NF1,1642071846.4605038,1642071846.4605505,0.05
2022-01-13 18:04:08,NF1,1642071848.3570888,1642071848.3571653,0.08
2022-01-13 18:04:10,NF1,1642071850.6138966,1642071850.6139667,0.07
2022-01-13 18:04:12,NF1,1642071852.698471,1642071852.6985357,0.06
2022-01-13 18:04:15,NF1,1642071855.0150757,1642071855.0151184,0.04
2022-01-13 18:04:17,NF1,1642071857.2066169,1642071857.2066567,0.04
2022-01-13 18:04:19,NF1,1642071859.4440794,1642071859.4441452,0.07
2022-01-13 18:04:21,NF1,1642071861.9882948,1642071861.9883206,0.03
2022-01-13 18:04:24,NF1,1642071864.206149,1642071864.2062185,0.07
2022-01-13 18:04:26,NF1,1642071866.3806586,1642071866.3806999,0.04
2022-01-13 18:04:28,NF1,1642071868.5561402,1642071868.5562525,0.11
2022-01-13 18:04:30,NF1,1642071870.7887194,1642071870.7887785,0.06
2022-01-13 18:04:33,NF1,1642071873.0112286,1642071873.0112526,0.02
2022-01-13 18:04:35,NF1,1642071875.2028127,1642071875.2028854,0.07
2022-01-13 18:04:37,NF1,1642071877.3203485,1642071877.3204205,0.07
2022-01-13 18:04:39,NF1,1642071879.9932785,1642071879.993302,0.02
2022-01-13 18:04:42,NF1,1642071882.590149,1642071882.590194,0.05
2022-01-13 18:04:44,NF1,1642071884.6724253,1642071884.6725094,0.08
2022-01-13 18:04:46,NF1,1642071886.573767,1642071886.5738122,0.05
2022-01-13 18:04:48,NF1,1642071888.6156998,1642071888.615744,0.04
2022-01-13 18:04:50,NF1,1642071890.9453409,1642071890.9453645,0.02
2022-01-13 18:04:53,NF1,1642071893.1158028,1642071893.1158388,0.04
2022-01-13 18:04:55,NF1,1642071895.4828565,1642071895.4828806,0.02
2022-01-13 18:04:57,NF1,1642071897.9261613,1642071897.9262047,0.04
2022-01-13 18:05:00,NF1,1642071900.1019971,1642071900.1020534,0.06
2022-01-13 18:05:02,NF1,1642071902.2853067,1642071902.2853765,0.07
2022-01-13 18:05:04,NF1,1642071904.4123302,1642071904.4123673,0.04
2022-01-13 18:05:06,NF1,1642071906.630859,1642071906.6314428,0.58
2022-01-13 18:05:08,NF1,1642071908.9264402,1642071908.9264896,0.05
2022-01-13 18:05:11,NF1,1642071911.1069815,1642071911.107025,0.04
2022-01-13 18:05:13,NF1,1642071913.2811277,1642071913.2811825,0.05
2022-01-13 18:05:15,NF1,1642071915.9719582,1642071915.9720163,0.06
2022-01-13 18:05:18,NF1,1642071918.07146,1642071918.0715208,0.06
2022-01-13 18:05:20,NF1,1642071920.233058,1642071920.2333086,0.25
2022-01-13 18:05:22,NF1,1642071922.3996131,1642071922.3998916,0.28
